id,name,familyName,birthdate,school,parent_id
1,omar,triki,2021-09-14,saida,5
3,لاتريكي,samia,2021-09-09,lycée 7 mars,6
4,لاتريكي,sami,2002-05-29,école de afran,6
5,لاتريكي,jamia,2003-06-12,lycée 21 mars 2021,6
6,hedia,triki,2021-09-08,lycée 5 mars 2021,5
7,nedia,trikia,2021-09-09,saida,6
8,عمر,التريكي,2021-09-14,المدرسة 20 مارس 1956,6
9,أحلام,التريكي,2021-09-07,المدرسة 21 مارس 1956,6
10,هاجر,التريكي,2021-09-09,المدرسة 20 مارس 1956,6
15,نوال,كمون,2021-09-08,lycée 21 mars 2021,7
19,قيصر,كمون,2021-09-03,المدرسة 20 مارس 1956,7
28,نسرين,كمون,2021-09-08,المدرسة 20 مارس 1956,7
31,هاجر,كمون,2021-09-20,المدرسة 20 مارس 1956,7
32,تيسير,كمون,2021-09-09,المدرسة 20 مارس 1956,7
34,عمر,التريكي,2021-09-09,المدرسة 20 مارس 1956,7
42,نوفيق,التريكي,2021-09-08,المدرسة 20 مارس 1956,6
